studlab,TP,FP,FN,TN,generation
S01,115,17,16,73,CCP2
S02,110,24,86,215,CCP1
S03,40,5,58,227,CCP1
S04,23,0,7,39,CCP2
S05,236,20,88,231,CCP2
S06,74,11,8,130,CCP2
S07,89,4,29,142,CCP2
S08,90,2,50,129,CCP2
S09,31,0,22,75,CCP2
S10,69,8,18,38,CCP2
S11,25,2,10,40,CCP2
S12,43,1,63,120,CCP1
S13,70,5,17,228,CCP2
S14,167,8,98,88,CCP2
S15,26,8,15,15,CCP2
S16,110,3,148,118,CCP1
S17,26,1,20,56,CCP2
S18,64,14,15,293,CCP2
S19,71,2,58,66,CCP2
S20,68,14,35,132,CCP2
S21,38,3,0,73,CCP2
S22,42,2,60,96,CCP2
S23,149,7,109,114,CCP2
S24,147,10,35,106,CCP2
S25,47,7,20,375,CCP2
S26,24,3,18,79,CCP2
S27,40,11,46,146,CCP1
S28,171,26,60,443,CCP2
S29,72,14,77,298,CCP1
S30,7,2,9,51,CCP2
S31,481,23,68,185,CCP2
S32,190,12,105,408,CCP2
S33,82,13,71,301,CCP2
S34,865,79,252,2218,CCP2
S35,139,7,101,464,CCP1
S36,69,5,107,133,CCP2
S37,90,7,101,313,CCP1
